iso_name,rx_name,ref_name,fold,titer,month,infection,num_result,variant
Alpha,BNT162b2,Hoffmann21,1.7,613.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,4.9,211.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,4.0,261.0,1,naive,1,Gamma
Alpha,BNT162b2,Hoffmann21,1.7,551.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,6.1,153.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,6.8,138.0,1,naive,1,Gamma
Alpha,BNT162b2,Hoffmann21,1.4,727.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,2.1,471.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,0.8,1253.0,1,naive,1,Gamma
Alpha,BNT162b2,Hoffmann21,1.2,1008.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,0.4,2990.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,0.4,2990.0,1,naive,1,Gamma
Alpha,BNT162b2,Hoffmann21,1.0,422.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,1.5,273.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,1.0,422.0,1,naive,1,Gamma
Alpha,BNT162b2,Hoffmann21,1.0,939.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,4.5,211.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,4.0,235.0,1,naive,1,Gamma
Alpha,BNT162b2,Hoffmann21,2.7,471.0,1,naive,1,Alpha
Beta,BNT162b2,Hoffmann21,10.9,115.0,1,naive,1,Beta
Gamma,BNT162b2,Hoffmann21,6.4,197.0,1,naive,1,Gamma
Beta,BNT162b2,Hoffmann21c,6.1,73.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.5,290.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,12.9,235.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,7.6,400.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,33.8,12.5,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,2.1,197.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,2.9,758.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,6.1,360.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,7.6,111.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.7,495.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,5.5,170.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.0,939.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,15.9,53.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,2.9,290.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,17.6,50.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,4.6,192.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,9.4,290.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,3.2,844.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,22.1,65.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,2.6,551.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,28.8,12.5,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.7,211.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,5.5,360.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.0,1980.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,5.7,635.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.9,1883.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,6.1,844.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,1.5,3375.0,1,naive,1,Kappa
Beta,BNT162b2,Hoffmann21c,5.5,551.0,1,naive,1,Beta
Kappa,BNT162b2,Hoffmann21c,2.1,1438.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.0,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,1.0,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.7,59.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,4.9,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.7,77.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,2.4,55.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.4,89.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,2.8,45.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,5.3,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.3,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.3,86.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,2.5,44.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.6,63.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.2,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,3.2,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,3.2,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.8,58.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,2.5,42.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,2.2,44.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,4.8,20.0,1,naive,1,Kappa
Alpha/E484K,ZF2001,Hu21c,2.6,177.0,1,naive,1,Alpha/E484K
Kappa,ZF2001,Hu21c,4.1,112.0,1,naive,1,Kappa
Alpha/E484K,ZF2001,Hu21c,2.2,202.0,1,naive,1,Alpha/E484K
Kappa,ZF2001,Hu21c,4.3,104.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,4.0,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,4.0,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.9,59.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.5,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,3.7,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,3.7,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.3,76.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.0,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.5,65.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.0,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.6,64.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.0,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,2.6,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,2.6,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.7,57.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,4.9,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,1.6,62.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,5.0,20.0,1,naive,1,Kappa
Alpha/E484K,CoronaVac,Hu21c,2.3,20.0,1,naive,1,Alpha/E484K
Kappa,CoronaVac,Hu21c,2.3,20.0,1,naive,1,Kappa
Beta,BBIBP-CorV,Huang21b,1.3,48.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,2.0,32.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.5,128.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.3,96.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.3,96.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.0,48.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.3,96.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.3,48.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.5,64.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.3,192.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.5,32.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.5,64.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.1,86.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,1.3,96.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,2.0,64.0,1,naive,1,Beta
Beta,BBIBP-CorV,Huang21b,2.0,64.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.5,64.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,2.0,96.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.3,96.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,2.0,48.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,2.0,32.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.0,48.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.0,128.0,1,naive,1,Beta
Beta,ZF2001,Huang21b,1.5,64.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.0,192.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.5,128.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,0.7,96.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,0.7,86.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.0,128.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.3,96.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.5,128.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,3.0,64.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.5,128.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,3.0,64.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.5,64.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,2.0,48.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,0.8,64.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.5,32.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.0,128.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.3,96.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.5,128.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,2.0,96.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.3,48.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,1.3,48.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.0,128.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,1.3,96.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.0,64.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,1.3,48.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.3,96.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,2.0,64.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.0,192.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,2.0,96.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.0,128.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,1.3,96.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,0.5,96.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,1.0,48.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.0,64.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,2.0,32.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.3,48.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,1.3,48.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,2.0,128.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,2.0,128.0,1,naive,1,Beta
B.1,ZF2001,Huang21b,1.3,96.0,1,naive,1,B.1
Beta,ZF2001,Huang21b,2.0,64.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,0.7,96.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.0,64.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.0,256.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.3,192.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.0,48.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,1.5,32.0,1,naive,1,Beta
B.1,BBIBP-CorV,Huang21b,1.3,96.0,1,naive,1,B.1
Beta,BBIBP-CorV,Huang21b,2.0,64.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,0.2,56.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.5,21.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,0.8,10.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.9,9.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,1.1,9.0,1,naive,1,Alpha
B.1,BNT162b2,Zou21,1.9,33.0,1,naive,1,B.1
Beta,Sputnik V,Ikegame21,1.0,10.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,0.5,2.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.1,51.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,3.0,175.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,5.6,93.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,7.6,10.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.8,98.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,0.6,431.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,1.3,189.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,0.8,56.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,1.0,46.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,2.3,10.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.8,30.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,1.0,53.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.9,59.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,11.1,10.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,1.0,112.0,1,naive,1,Beta
Alpha,Sputnik V,Ikegame21,0.1,108.0,1,naive,1,Alpha
Beta,Sputnik V,Ikegame21,0.5,10.0,1,naive,1,Beta
B.1,BNT162b2,Imai21,0.3,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,80.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,1280.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,160.0,1,naive,1,Gamma
Zeta,Ad26.COV2.S,Jongeneelen21,1.9,105.0,>=2,naive,1,Zeta
B.1,BNT162b2,Imai21,0.5,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,0.5,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,40.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,80.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,160.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,160.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,80.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,1280.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,0.5,1280.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,80.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,0.5,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,0.3,640.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,0.5,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,1280.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,640.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,4.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,1280.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,640.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,0.5,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.3,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,80.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,320.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,1.0,320.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,2.0,160.0,1,naive,1,Gamma
B.1,BNT162b2,Imai21,0.5,160.0,1,naive,1,B.1
Gamma,BNT162b2,Imai21,1.0,80.0,1,naive,1,Gamma
Alpha,BNT162b2,Jalkanen21,0.5,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
Alpha,Ad26.COV2.S,Jongeneelen21,0.9,260.0,>=2,naive,1,Alpha
B.1,BNT162b2,Zou21,2.1,159.0,1,naive,1,B.1
Alpha,BNT162b2,Jalkanen21,0.5,320.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,0.5,320.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,4.0,320.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,1.0,1280.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,320.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,640.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,80.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,80.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,40.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,1.0,80.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,8.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,0.5,320.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,160.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,0.3,320.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,2.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,640.0,1,naive,1,Alpha
B.1.463,BNT162b2,Jalkanen21,0.5,1280.0,1,naive,1,B.1.463
Beta,BNT162b2,Jalkanen21,4.0,160.0,1,naive,1,Beta
B.1,BNT162b2,Zou21,2.2,153.0,1,naive,1,B.1
Alpha,BNT162b2,Jalkanen21,0.5,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,1280.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,160.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,80.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,2.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,80.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,80.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,32.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,80.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,80.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,1.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,80.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,32.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,32.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,32.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,16.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,2.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,32.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,8.0,40.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,320.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,32.0,10.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,0.5,640.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,80.0,1,naive,1,Beta
Alpha,BNT162b2,Jalkanen21,1.0,160.0,1,naive,1,Alpha
Beta,BNT162b2,Jalkanen21,4.0,40.0,1,naive,1,Beta
